TIMESTAMP,VEL,DIR,VELMS
200308010000,25,130,2.5
200308010200,32,184,3.2
200308010400,54,218,5.4
200308010600,40,197,4.0
200308010800,49,225,4.9
200308011000,57,245,5.7
200308011200,58,255,5.8
200308011400,46,255,4.6
200308011600,41,245,4.1
200308011800,22,218,2.2
200308012000,0,0,0.0
200308012200,18,99,1.8
200308020000,16,145,1.6
200308020200,0,0,0.0
200308020400,18,154,1.8
200308020600,20,149,2.0
200308020800,0,0,0.0
200308021000,28,334,2.8
200308021200,44,323,4.4
200308021400,48,325,4.8
200308021600,37,351,3.7
200308021800,18,332,1.8
200308022000,33,290,3.3
200308022200,21,243,2.1
200308030000,12,243,1.2
200308030200,28,138,2.8
200308030400,29,120,2.9
200308030600,16,113,1.6
200308030800,0,0,0.0
200308031000,23,262,2.3
200308031200,32,280,3.2
200308031400,33,276,3.3
200308031600,28,220,2.8
200308031800,19,251,1.9
200308032000,16,309,1.6
200308032200,17,212,1.7
200308040000,28,130,2.8
200308040200,22,163,2.2
200308040400,32,152,3.2
200308040600,71,187,7.1
200308040800,24,180,2.4
200308041000,34,74,3.4
200308041200,45,4,4.5
200308041400,38,309,3.8
200308041600,39,245,3.9
200308041800,22,299,2.2
200308042000,21,359,2.1
200308042200,23,106,2.3
200308050000,25,161,2.5
200308050200,30,123,3.0
200308050400,25,62,2.5
200308050600,29,48,2.9
200308050800,13,103,1.3
200308051000,0,0,0.0
200308051200,30,251,3.0
200308051400,43,234,4.3
200308051600,41,228,4.1
200308051800,13,270,1.3
200308052000,14,282,1.4
200308052200,27,282,2.7
200308060000,36,282,3.6
200308060200,30,308,3.0
200308060400,22,290,2.2
200308060600,14,155,1.4
200308060800,24,219,2.4
200308061000,17,273,1.7
200308061200,45,284,4.5
200308061400,33,259,3.3
200308061600,0,0,0.0
200308061800,23,334,2.3
200308062000,30,318,3.0
200308062200,26,309,2.6
200308070000,45,250,4.5
200308070200,52,244,5.2
200308070400,54,244,5.4
200308070600,55,235,5.5
200308070800,58,244,5.8
200308071000,59,254,5.9
200308071200,45,285,4.5
200308071400,51,254,5.1
200308071600,57,241,5.7
200308071800,56,234,5.6
200308072000,67,225,6.7
200308072200,87,225,8.7
200308080000,95,221,9.5
200308080200,3,217,0.3
200308080400,78,217,7.8
200308080600,75,214,7.5
200308080800,85,216,8.5
200308081000,93,232,9.3
200308081200,0,240,0.0
200308081400,94,236,9.4
200308081600,83,225,8.3
200308081800,85,231,8.5
200308082000,80,230,8.0
200308082200,77,229,7.7
200308090000,90,223,9.0
200308090200,86,218,8.6
200308090400,84,215,8.4
200308090600,79,212,7.9
200308090800,79,214,7.9
200308091000,93,237,9.3
200308091200,86,240,8.6
200308091400,87,242,8.7
200308091600,66,244,6.6
200308091800,58,230,5.8
200308092000,39,230,3.9
200308092200,37,225,3.7
200308100000,62,231,6.2
200308100200,63,228,6.3
200308100400,50,216,5.0
200308100600,43,204,4.3
200308100800,60,225,6.0
200308101000,61,236,6.1
200308101200,64,243,6.4
200308101400,47,240,4.7
200308101600,38,238,3.8
200308101800,26,263,2.6
